CMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9425, 0.9695, "9.81209+(-9.21842*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9695, 0.9965, "3.18765+(-2.38558*x)"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9965, 1.1, "0.812945"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -1.1, -0.93375, "1.12369"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "3.05214+(2.06398*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.78625, -0.64, "-0.547998+(-2.51489*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.64, -0.49, "0.324259+(-1.15199*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.49, -0.34, "1.9009+(2.06564*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.34, -0.19, "0.594444+(-1.77687*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.19, -0.04, "1.09978+(0.882805*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -0.04, 0.11, "1.02956+(-0.872779*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.11, 0.254, "0.840656+(0.844522*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.254, 0.392, "1.46825+(-1.62633*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.392, 0.53, "-0.453387+(3.27581*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.53, 0.668, "1.43705+(-0.291053*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.668, 0.806, "1.86461+(-0.931113*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.806, 0.8885, "6.21775+(-6.33203*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8885, 0.9155, "-7.28468+(8.86486*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9155, 0.9425, "-1.86563+(2.94563*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9425, 0.9695, "6.91659+(-6.37237*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9695, 0.9965, "-0.832166+(1.62015*x)"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9965, 1.1, "0.781476"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -1.1, -0.93375, "1.16465"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.93375, -0.78625, "0.136374+(-1.10123*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.78625, -0.64, "0.51879+(-0.614852*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.64, -0.49, "1.04761+(0.211423*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.49, -0.34, "1.03639+(0.188537*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.34, -0.19, "0.95284+(-0.0572018*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.19, -0.04, "0.996368+(0.17189*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -0.04, 0.11, "0.986367+(-0.0781376*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.11, 0.254, "1.05253+(-0.67959*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.254, 0.392, "1.01898+(-0.547522*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.392, 0.53, "1.09319+(-0.736837*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.53, 0.668, "1.07326+(-0.699237*x)"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.668, 0.806, "1.13826+(-0.796536*x)"
